prefix	ID	动画内容
a000	0	idle
	10~13	似乎是走路停止
	100-103	前后左右的走路
	110-113	深蹲到前后左右的走路
	120-123	浅蹲到前后左右的走路
	132-133	左右转向前面的过渡动画
	200-203	"前后左右的走路动画,和100-103差不多"
	300-303	前后左右的走路到停止站立
	400-403	站立到前后左右加速小跑
	410-413	深蹲到前后左右的加速小跑
	420-423	浅蹲到前后左右的加速小跑
	432-433	左右转向前面小跑的过渡动画
	442-443	和432-433类似
	500-503	前后左右小跑
	600-603	前后左右小跑到停止
	1151-1154	不同方向开始朝前冲刺
	1200	冲刺动画
	1402-1403	左右急停
	1410	冲刺动画（只有几帧）
	1500	未知
	1510-1512	不同方向急停到站立
	5000	蹲
	5010-5013	不同方向的蹲到蹲走
	5100-5103	不同方向的开始蹲走
	5110-5113	不同方向开始蹲走
	5200-5203	不同方向蹲走
	5300-5303	不同反向蹲走到蹲
	5400-5403	不同方向的蹲到蹲跑
	5410-5413	不同方向的蹲到蹲跑
	5500-5503	不同方向蹲跑
	5600-5603	不同方向蹲转向前面
	20000	腿放在的悬挂
	20010	腿曲着悬挂
	20102-20103/20112-20113	腿放在/曲着悬挂左右移动
	20202-20203/20212-20213	腿放在/曲着悬挂左右移动速度更快
	20302-20303/20312-20313	腿放在/曲着悬挂左右移动到停止移动
	20402-20403/20412-20413	腿放在/曲着悬挂左右移动跨度更大
	20422-20423/20432-20433	和上面差不多
	21000开头	贴墙动画
	23000开头	杵着到的动作
	24000开头	杵着到的动作，速度更快
	30000开头	水下的动作
	31000开头	水下的动作冲刺版
	40000开头	水下的动作缓慢版
	41000开头	水下的动作蹬腿版
	100000开头	各种受击动作
	110000开头	死亡/回生动作
	190000开头	各种状态的受击动作
	200000开头	跳跃置空落地的动作
	205000开头	贴墙偷听
	206000开头	翻滚
	210000开头	这种类型的都有，不好分类
	220000开头	这种状态的窃听的动作
	226000开头	杵刀的动作
	250000开头	使用各种道具的动作
	700000开头	各种交互动作
a010		不好区分类型
a050	0开头的	各种防御招架的姿势
	1开头的	
	2开头的	各种弹刀
	3开头的	攻击的姿势
a070	4开头的	忍义手
a071		忍义手
a072		忍义手
a073		忍义手
a074		忍义手
a075		忍义手
a076		忍义手
a077		忍义手
a078		忍义手
a079		忍义手
a100		战技
a101		战技
a102		战技
a103		战技
a104		战技
a105		战技
a106		战技
a107		战技
a108		战技
a109		战技
a110		战技
a200-a250		和不同角色boss的互动动作，包括忍杀，识破等
